Outlet_Type,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Item_Visibility,Item_Frequency,Item_Type,Item_Identifier_Type,Outlet_Status,Calorie_Count_per_givenwt
1,0.4707092935866807,9,1,2,0.035205866,1,6,1,0,6.175
1,0.4578765639075415,7,0,1,0.047473135,1,9,2,1,0.0
1,-0.4826253363993878,8,0,2,0.076121831,0,10,1,0,25.168
1,-1.6035529217191273,7,0,1,0.029845243,1,6,1,1,5.41125
1,0.21837491375831886,8,0,2,0.137227848,1,13,1,0,61.0375
0,1.331937989621029,4,0,2,0.099780431,1,6,1,0,11.18
0,0.47066772232183424,4,0,2,0.014008751,1,4,1,0,8.096000000000002
1,0.779973921727457,2,0,1,0.13283066,1,6,1,1,7.897500000000001
1,-1.612599468507636,8,0,2,0.031338558,0,11,2,0,0.0
3,1.4245076030652677,5,1,0,0.056596985,1,13,1,0,65.55
0,0.4430228311989437,0,0,0,0.100262068,0,0,1,0,28.0
2,-1.2650860789185199,3,1,0,0.079952983,0,10,1,1,11.18975
1,-1.7004139688113609,1,2,0,0.107940533,1,9,2,0,0.0
1,-1.5812515370238074,9,1,2,0.15233365333333335,0,14,0,0,3.1161000000000003
1,1.850872088699293,8,0,2,0.029445361,1,9,2,0,0.0
1,1.7721041351840767,1,2,0,0.14048631,0,7,0,0,39.375
3,-0.5699345859457483,5,1,0,0.013529884,1,6,1,0,10.465000000000002
2,-0.9749666171343365,3,1,0,0.041098734,1,6,1,1,11.505
1,1.4282106434262054,2,0,1,0.114246019,0,8,2,1,0.0
1,-0.7178771241654613,8,0,2,0.047266211,1,13,1,0,81.9375
1,1.8955580006196258,7,0,1,0.063993068,0,1,1,1,36.25
1,0.25409742141983593,1,2,0,0.024342380666666667,1,9,2,0,0.0
1,-1.352353757200034,2,0,1,0.026832182,1,3,1,1,9.88
1,0.7820364960217621,7,0,1,0.032652796,0,8,2,1,0.0
1,0.31683485565233954,8,0,2,0.034874689,1,9,2,0,0.0
1,-0.0344647168274075,1,2,0,0.055793586,1,9,2,0,0.0
3,-0.6752953578042798,5,1,0,0.134418705,1,9,2,0,0.0
1,-1.4641516795305582,7,0,1,0.098083231,1,3,1,1,6.800000000000001
1,1.4367935107221959,1,2,0,0.063121982,1,5,1,0,5.0
1,0.5063486587185048,6,0,1,0.122204371,1,6,1,1,10.790000000000001
2,-0.5145200899054276,3,1,0,0.043133816,1,6,1,1,9.49
0,-1.62593744894414,0,0,0,0.075836522,1,4,0,0,8.786000000000001
1,0.8182226831757967,6,0,1,0.019476708,0,8,2,1,0.0
1,0.8896261272339839,6,0,1,0.121227447,1,13,1,1,99.03750000000001
1,-0.8461276740063701,1,2,0,0.099188598,1,5,1,0,8.0
3,-0.3676296244652901,5,1,0,0.045900448,1,13,1,0,54.625
1,-1.672727506423624,1,2,0,0.1300536815,0,0,1,0,17.22
1,-0.47782865199402796,2,0,1,0.11521312,1,3,1,1,12.56
1,-0.30060075658479113,8,0,2,0.055226755,1,3,1,0,6.248
1,-0.4804380483105438,9,1,2,0.046960237,0,0,1,0,11.732000000000001
2,-0.19784938104277539,3,1,0,0.028980533,0,8,2,1,0.0
2,-1.4539699174327811,3,1,0,0.086184647,1,5,1,1,7.75
1,1.752370575540426,2,0,1,0.072383777,0,7,0,1,20.987499999999997
1,0.05339135474116445,8,0,2,0.162980276,0,7,0,0,19.625
1,-0.932931672795366,8,0,2,0.020715913,0,1,1,0,32.875
1,1.3383335688281757,2,0,1,0.053887301,1,6,1,1,6.565
1,-1.3182717156051502,8,0,2,0.160663021,1,9,2,0,0.0
1,0.5856634342559321,7,0,1,0.014115626,1,5,1,1,5.9
1,-1.4236324874636817,6,0,1,0.099113429,1,13,1,1,69.5875
1,0.051750888674530995,2,0,1,0.039231652,1,13,1,1,85.5
1,1.582085081360547,6,0,1,0.022936488,0,0,1,1,28.349999999999998
1,0.7538447828766601,7,0,1,0.06867619025,1,6,1,1,6.695
0,0.5047913351815647,0,0,0,0.0708009757993644,0,12,1,0,10.944600000000001
1,0.2737894097986398,1,2,0,0.149890395,1,5,1,0,3.9125
0,0.6729311125374462,0,0,0,0.0708009757993644,0,14,0,0,4.2177
0,0.002815114371049611,0,0,0,0.15643727,0,0,1,0,20.79
1,-0.6076780966367235,9,1,2,0.031097948,1,6,1,0,8.125
0,-0.8482733908303679,4,0,2,0.2004264,0,0,1,0,7.594999999999999
3,-1.6765136893142545,5,1,0,0.124041511,1,5,1,0,7.925
1,1.853523056280655,8,0,2,0.02734361,1,13,1,0,45.6
1,0.48981288867842754,2,0,1,0.123346085,0,7,0,1,11.525
1,0.05974536268346412,1,2,0,0.014218971333333335,1,9,2,0,0.0
0,1.7215278948139618,0,0,0,0.058168807,1,4,1,0,8.165000000000001
2,0.41853415841477976,3,1,0,0.08630486,1,13,1,1,42.75
3,-0.6678061345527113,5,1,0,0.053269987799999995,0,0,1,0,8.61
1,0.832107485634512,1,2,0,0.112316501,1,6,1,0,13.325000000000001
0,0.6761289021410193,4,0,2,0.0708009757993644,0,15,1,0,15.93
2,1.2637739064312619,3,1,0,0.026950104,0,0,1,1,21.0
1,-0.9350773896193638,9,1,2,0.037457098,1,3,1,0,4.14
1,0.061891079507462116,7,0,1,0.066311153,1,5,1,1,7.575
0,-0.1339351602361568,0,0,0,0.059834024,1,6,1,0,7.0817499999999995
1,-1.3199121816717834,9,1,2,0.076855207,1,4,0,0,2.8198
1,-1.1123052850286006,9,1,2,0.0781195325,0,7,0,0,27.0
3,1.6624103584127035,5,1,0,0.08279545,1,5,1,0,2.5775
2,-0.7013413541253841,3,1,0,0.039381633,1,13,1,1,83.60000000000001
1,-1.468906792671072,1,2,0,0.017141985,1,4,1,0,3.6501
2,0.5761116367100589,3,1,0,0.010033871,1,9,2,1,0.0
1,-0.2723259009099965,6,0,1,0.032435437,0,14,0,1,4.2126
1,-0.48897934434168794,2,0,1,0.031599715,1,9,2,1,0.0
1,0.3142254593358235,9,1,2,0.108879177,1,13,1,0,98.5625
1,-0.022220380435325315,7,0,1,0.014901061399999999,1,9,2,1,0.0
2,-1.5886991890105295,3,1,0,0.042113173,1,13,1,1,48.42625
3,0.485604597560125,5,1,0,0.104786172,1,13,1,0,74.1
0,-1.7377353712746646,0,0,0,0.0708009757993644,1,9,2,0,0.0
1,-1.4226219859489526,8,0,2,0.174049032,1,4,1,0,5.359
1,0.8709446403699092,6,0,1,0.098765906,1,5,1,1,6.55
1,-1.6152920073538444,2,0,1,0.067676056,1,9,2,1,0.0
1,0.4461790495376703,1,2,0,0.060495243,1,4,1,0,7.705
2,-0.7828018464868091,3,1,0,0.041948307500000004,1,13,1,1,31.70625
1,0.22746303181167446,2,0,1,0.03362713,0,10,1,1,13.299000000000001
2,-0.8254251841128369,3,1,0,0.07808307133333332,1,3,1,1,13.0
1,0.1194097211069341,7,0,1,0.053397989,1,3,1,1,5.32
0,0.7123150892950544,0,0,0,0.049163321,0,1,1,0,14.850000000000001
1,-0.5842830678969816,9,1,2,0.104245198,1,3,1,0,16.0
1,0.5856218629910858,7,0,1,0.044281996,1,6,1,1,8.515
3,1.8706056483429434,5,1,0,0.067373081,0,1,1,0,14.2375
1,1.2739140972641925,1,2,0,0.087646694,1,13,1,0,74.1
1,0.2965960452513242,2,0,1,0.010096684,1,13,1,1,83.60000000000001
1,1.2291450428141668,7,0,1,0.13341564,1,3,1,1,8.8
1,1.2818670000082792,1,2,0,0.018789455,1,6,1,0,13.1625
0,-1.631744634864229,4,0,2,0.080697998,1,5,1,0,3.3175
1,1.417101522343392,7,0,1,0.036957777,0,10,1,1,14.864849999999999
1,1.3313495963339717,6,0,1,0.042552205,1,6,1,1,4.78725
1,-1.612599468507636,7,0,1,0.039723999,1,13,1,1,89.53750000000001
0,-1.1006077706587298,4,0,2,0.058444176,0,14,0,0,8.262
3,-0.02062148563353878,5,1,0,0.036109413,1,6,1,0,6.24
1,-0.18186043302490912,9,1,2,0.019965179,1,5,1,0,7.55
1,-0.7503602709585584,9,1,2,0.121442754,1,13,1,0,95.95
1,-0.3319486880686197,8,0,2,0.127727102,1,4,1,0,4.919700000000001
1,-0.39800862569923606,8,0,2,0.163941937,1,9,2,0,0.0
1,-1.4310801394504038,6,0,1,0.035001282,1,13,1,1,53.9125
1,0.4765580507716163,7,0,1,0.136008489,1,6,1,1,11.05
1,-0.4910834899008392,8,0,2,0.084966021,1,13,1,0,33.4875
1,0.572872275841639,2,0,1,0.070843019,0,7,0,1,24.2375
1,0.6830297321055304,6,0,1,0.066608487,1,6,1,1,4.407
3,0.3551667596303722,5,1,0,0.006665667,1,9,2,0,0.0
0,-1.500296295419747,0,0,0,0.134393836,1,9,2,0,0.0
1,-0.4693289272277303,9,1,2,0.055514919,1,9,2,0,0.0
0,0.26789908134885815,4,0,2,0.054670967,0,12,1,0,21.2058
1,-0.4591471651299532,2,0,1,0.022190488,1,4,1,1,7.682
1,-1.2847364960324774,7,0,1,0.076891526,1,4,0,1,2.8198
1,-1.62114076453878,8,0,2,0.035943717,0,14,0,0,7.2165
1,-1.0478858134646174,1,2,0,0.09261307,1,4,0,0,9.522
1,1.6656081480162763,8,0,2,0.083198341,1,5,1,0,2.5775
1,0.8741424299734822,6,0,1,0.096379585,0,14,0,1,7.8285
1,1.730574441602471,6,0,1,0.015087112,0,10,1,1,14.014000000000001
